,idx,word_guesses,first_pass,solution_words,solution
31,31,anche;sette;dita;mina,"BI, anche CA, sette dita OR mina",Bianche;casette;di;Taormina,Bianche casette di Taormina
32,32,divo;redo;etti,divo R A redo L C etti,Divorare;dolcetti,Divorare dolcetti
33,33,vita;esca;ali,E vita R esca N D ali,Evitare;scandali,Evitare scandali
34,34,mesti;cane;gente,D O mesti cane G LI gente,Domestica;negligente,Domestica negligente
35,35,camusi;capo,P O camusi capo P,Poca;musica;pop,Poca musica pop
36,36,ebraica;peri,CEL ebraica peri ST A,Celebrai;caperista,Celebrai caperista
37,37,note;lido,note V O lido TI,Notevoli;doti,Notevoli doti
38,38,gilet;ore;ali;ante,A gilet ore R O D ali C ante,Agile;torero;d;Alicante,Agile torero d'Alicante
39,39,viti;tori,BRA viti RA tori,Bravi;tiratori,Bravi tiratori
40,40,dotta;viole,CON dotta viole NTA,Condotta;volontà,Condotta volontà
41,41,di;collare;mani;est,di collare mani F est I,Dilaremani;manifesti,Dilaremani manifesti
42,42,in;si;va;per;razione,in CI si va per O razione,Incisiva;perorazione,Incisiva perorazione
43,43,scia;la;re;sol;doni,scia la re sol doni,Scialare;soldoni,Scialare soldoni
44,44,gin;rami,gin OB rami E R I,Ginò;Bramerí,Ginò Bramerí
45,45,fra;secondi;versi;ori,fra secondi versi E R R ori,Frase;con;diversi;errori,Frase con diversi errori
46,46,acini;caviglia,L acini caviglia CCA,La;cinica;vigliacca,La cinica vigliacca
47,47,ossa;top;fon,F ossa top RO fon DO,Fossato;profondo,Fossato profondo
48,48,Cam;colt;tiara;anelli,Cam PI colt I VA tiara V anelli,Campi;coltivati;a;ravanelli,Campi coltivati a ravanelli
49,49,tiara;ala;tiara,MA tiara ala G U N tiara,Matira;alaguntria,Matira alaguntria
50,50,testa;mento;testa;agli;redi,UN testa mento CON testa TO D agli E redi,Un;testamento;contestato;dagli;eredi,Un testamento contestato dagli eredi
51,51,larve;somari;ontani,VO larve R somari L ontani,Volar;verso;mari;lontani,Volar verso mari lontani
52,52,amo;sai;nave;gente,F amo sai C O nave gente TA,Famosa;icona;venerata,Famosa icona venerata
53,53,lenti;grappa;Omar;occhio,lenti G grappa O S Omar M occhio,Lentigrappao;marocchino,Lentigrappao marocchino
54,54,tir;maniche,AR tir O maniche,Arti;romaniche,Arti romaniche
55,55,cola;anelli;arazzo,S cola R anelli M B arazzo,Scolara;nell;imbarazzo,Scolara nell'imbarazzo
56,56,re;tea;tram;aglio,re tea tram aglio,Rete;a;tramaglio,Rete a tramaglio
57,57,spettatore;divo,SO spettatore CI divo,Sospettato;recidivo,Sospettato recidivo
58,58,est;conca;lama,C est I conca lama RI,Cesti;con;calamari,Cesti con calamari
59,59,prese;Arese;rete,prese R V Arese G rete,Preservare;segrete,Preservare segrete
60,60,avo;teca;adipe;are,avo L teca PI T adipe C C are,A;volte;capita;di;peccare,A volte capita di peccare
61,61,lama;rettile,CA lama rettile SSI,Calamaretti;lessi,Calamaretti lessi
62,62,unti;rosse;va;zio,S P unti P E rosse R va zio NI,Spunti;per;eservazioni,Spunti per eservazioni
63,63,nero;sodo;ore,GE nero sodo N AT ore,Generoso;donatore,Generoso donatore
64,64,rande;more;terno,G rande A more E terno,Grande;amore;eterno,Grande amore eterno
65,65,zucche;agrumi,zucche R O agrumi,Zucchero;a;grumi,Zucchero a grumi
66,66,isola;torero;busto,isola torero busto,Isolatore;robusto,Isolatore robusto
67,67,facce;dadi;riga,facce NDA dadi SB riga RE,Faccenda;da;disbrigare,Faccenda da disbrigare
68,68,resina;erme;teli;oro,resina GG erme N teli QU oro SI,Resi;naggeramente;liquorosi,Resi naggeramente liquorosi
69,69,nome;tori;colo,U nome T tori DI colo,Un;ometto;ridicolo,Un ometto ridicolo
70,70,faretra;arco;dardi,faretra P EL arco dardi A,Fare;trapelar;codardia,Fare trapelar codardia
71,71,astori;rovo,V astori T rovo,Vasto;ritrovo,Vasto ritrovo
72,72,Mida;mazzo,AR Mida mazzo NI,Armi;d;amazzoni,Armi d'amazzoni
73,73,sci;cote;pista,sci O C cote P pista,Sciocco;teppista,Sciocco teppista
74,74,do;ore;tre;Giano,do T T ore tre VI Giano,Dottore;trevigiano,Dottore trevigiano
75,75,danno;venti,danno SI E venti,Dannosi;eventi,Dannosi eventi
76,76,mira;colo;cono;Talia;nodo,I L mira colo E cono MI COI Talia nodo GGI,Il;miracolo;economico;italiano;d;oggi,Il miracolo economico italiano d'oggi
77,77,ave;rei;dee;ori;gin;ali,ave rei dee ori gin ali,Avere;idee;originali,Avere idee originali
78,78,api;Doc;mento,R api Doc O M mento,Rapido;commento,Rapido commento
79,79,musi;tino;dame;cani,musi C I S tino R dame R I cani,Musicisti;nordamericani,Musicisti nordamericani
80,80,pera;colt;ree;orma;navi;ara,SA pera S colt A ree orma IU navi R T U R ara,Saper;ascoltare;è;ormai;mai;avrà;rara,Saper ascoltare è ormai mai avrà rara
81,81,osso;Ci;ali,CA osso Ci ali,Caos;sociali,Caos sociali
82,82,Pi;star;do;Ande,Pi star do L Ande SE,Pistardo;l'andese,Pistardo l'andese
83,83,coni;solai,coni O solai E,Conio;so;laie,Conio so laie
84,84,albatro;va,SCI albatro va TA,Scialba;trovata,Scialba trovata
85,85,avola;Asti;Roma;erma,T avola D Asti Roma L F erma,Tavola;da;stiro;malferma,Tavola da stiro malferma
86,86,neri;cori;amo,GE neri cori CH I amo,Generico;richiamo,Generico richiamo
87,87,lacci;con;fusi,UR lacci con fusi,Urlacci;confusi,Urlacci confusi
88,88,gesti;fa,DE gesti fa,Desgesti;fa,Desgesti fa
89,89,pera;rea;Senna;mente,O pera rea S Senna T A mente,Operare;assennatamente,Operare assennatamente
90,90,tra;letti;in;orsi,tra F I letti in C orsi VO,Trafiletti;in;corsivo,Trafiletti in corsivo
91,91,sci;odi;la,CU sci N odi la NA,Cuscino;di;lana,Cuscino di lana
92,92,amo;perle;terni,amo R E perle terni T A,Amore;per;l;eternità,Amore per l'eternità
93,93,dimora;casco;ori,dimora C casco L ori T A,Dimora;casciolita,Dimora casciolita
94,94,rima;eredi;tacca,rima N eredi S tacca TI,Rimanere;distaccati,Rimanere distaccati
95,95,mici;di;lega,mici di A lega RA,Micidiale;gara,Micidiale gara
96,96,viole;fili;pica,viole N T A fili P pica,Violenta;filippica,Violenta filippica
97,97,esca;nati;colle;ali,TR esca N ZO nati colle G I ali,Tre;scanzonate;collegiali,Tre scanzonate collegiali
98,98,su;rete;ari,su O rete RZI ari E,Suore;terzierie,Suore terzierie
99,99,vela;sci,DI vela sci V E,Dive;lascive,Dive lascive
100,100,moro;sazi,A moro sazi A,Amorsa;zia,Amorsa zia
101,101,moda;fari,UO moda F fari,Uomo;d;affari,Uomo d'affari
102,102,viole;tre;more,U N viole N T O tre more,Un;violento;tremore,Un violento tremore
103,103,asse;are;oli;tea;ali,asse GN are R U oli tea T R ali,Assegnare;rueoli;teatrali,Assegnare rueoli teatrali
104,104,lancia;ocarina,lancia D EL ocarina,L;ancia;del;ocarina,L'ancia del ocarina
105,105,nonne;Oglio;pere,nonne V Oglio S A pere,Non;ne;viglio;sapere,Non ne viglio sapere
106,106,navi;Sion;topi,U navi Sion EU topi CA,Una;visione;utopica,Una visione utopica
107,107,astori;adipi;occhio;collo,L astori adipi N occhio DI collo DI,La;storia;di;Pinocchio;di;Collodi,"La storia di Pinocchio, di Collodi"
108,108,rea;rea;rose;tram,C rea rea M O rose tram E,Creare;amorose;trame,Creare amorose trame
109,109,orse;orse;nate,C orse F orse N nate,Corse;forsennate,Corse forsennate
110,110,strade;erta,MO strade S erta,Mostra;deserta,Mostra deserta
111,111,orso;alce;roditori,C orso alce NT roditori NO,Corso;al;centro;di;Torino,Corso al centro di Torino
112,112,in;scarpe;santi;volte,in N E scarpe santi R I volte,Innescar;pesanti;rivolte,Innescar pesanti rivolte
113,113,sedia;ori;remo,sedia M ori A V remo,Se;diamo;riavremo,Se diamo riavremo
114,114,melone;agente;Edison;tea;zio,TE melone ST agente L Edison ES tea zio NI,Teme;l;onesta;gente;le;disoneste;azioni,Teme l'onesta gente le disoneste azioni
115,115,verde;risma,A verde LCA risma,Aver;del;carisma,Aver del carisma
116,116,lauda;rei;pia,COL lauda rei M pia NTI,Collaudare;impianti,Collaudare impianti
117,117,Colombia;osti,Colombia RR osti T I,Colombi;alloristi,Colombi alloristi
118,118,est;Iran;rosi,G est Iran C O rosi,Gesti;rancorosi,Gesti rancorosi
119,119,aroma;ave;Diana,NOT aroma N Z ave R Diana,Nota;romana;verdiana,Nota romana verdiana
120,120,lame;tre;Giano,SA lame tre V I Giano,Salame;trevigiano,Salame trevigiano
121,121,con;fez;nidi;astaco,con fez IO nidi P astaco RTA,Confezioni;di;pasta;corta,Confezioni di pasta corta
122,122,ermo;uno,ermo RT uno SO,Erm;ortunoso,Erm ortunoso
123,123,porta;mento;re;re;ile,COM porta mento IR re P re NS IB ile,Comportamento;irreprensibile,Comportamento irreprensibile
124,124,ossi;denti;gale,P ossi denti SI N gale SI,Possedienti;singalesi,Possedienti singalesi
125,125,do;Cipro;tino;ali,do L Cipro DO T tino S TR ali,Dolci;prodotti;nostrali,Dolci prodotti nostrali
126,126,fa;odi;vaso,fa LL odi N vaso ON E,Fallo;d;invasione,Fallo d'invasione
127,127,su;tir;armi,su DA tir ISP armi,Sudati;risparmi,Sudati risparmi
128,128,tris;mento;disco;orto,tris TE MO mento disco N F orto,Triste;momento;di;sconforto,Triste momento di sconforto
129,129,saio;stia;tacchi,U saio stia T tacchi NI,U saiò;stiat;tacchchini,"U saiò, stiat tacchchini"
130,130,arco;mesi;ovest,F arco mesi DES ID ovest,Far;come;se;didovest,Far come se didovest
131,131,pere;gin,A pere gin A,Ape;regina,Ape regina
132,132,ora;listino,M ora listino TI,Moralisti;noti,Moralisti noti
133,133,bolide;azza;tesi;azione,I M bolide azza N tesi T U azione,Imbrolidezza;situazione,Imbrolidezza situazione
134,134,Sila;tino;zie,E Sila RAN tino TI zie,Esillaranti;notizie,Esillaranti notizie
135,135,si;re;sol;fa;si,IN si NUA re sol O fa L si TA,Insinuare;solo;falsità,Insinuare solo falsità
136,136,banca;tede;sta,CAL banca T tede sta TE,Calba;tante;d;estate,Calba tante d'estate
137,137,nere;dita;ante,U nere dita P E S ante,Un;eredità;pesante,Un'eredità pesante
138,138,notes;nera;Giano,notes E nera DI FA Giano,Note;serena;di;fagiano,Note serena di fagiano
139,139,gole;mi;ari;ree,R E gole mi L I T ari F ER ree,Regole;militari;ferree,Regole militari ferree
140,140,nido;per,BRA nido per A,Brani;d;opera,Brani d'opera
141,141,dama;tellina,LIN dama N tellina,Linda;mantellina,Linda mantellina
142,142,bus;odi;manti,A bus odi C A L manti,Abuso;di;calmanti,Abuso di calmanti
143,143,star;ali;cima;nate,GU star E ali cima R I nate,Gustare;alici;marinate,Gustare alici marinate
144,144,auto;dei;api;Ale,L auto R E dei L C api T Ale,L;autore;di;Le;capitale,L'autore di Le capitale
145,145,va;ore;sta,va L I D ore GI sta,Valido;regista,Valido regista
146,146,ari;ami;are,M ari N ami LIT are,Marina;militare,Marina militare
147,147,Atena,coll'Era SC Atena TA,Collera;scatenata,Collera scatenata
148,148,bar;inno;man;di,S bar CO inno R man di A,Sbarco;in;Normandia,Sbarco in Normandia
149,149,Eva;Erie;anno;ali;rea;empi;etti,L Eva NT Erie F anno S ali rea G AL empi F etti,Le;vanterie;fanno;salire;a;galea;l;empietti,Le vanterie fanno salire a galea l empietti
150,150,posta;dita,PRO posta A R dita,Proposta;ardita,Proposta ardita
151,151,tra;olenti;Di;menta,S tra T olenti Di menta RIO,Strato;l;ent;identificario,Strato l'ent identificario
152,152,Fo;magra,Fo RU magra RI,Forum;agrari,Forum agrari
153,153,trattore;lare,trattore G O lare,Tratto;regolare,Tratto regolare
154,154,lama;filo;fico;costa,lama filo fico costa,La;mafiocosta;costa,La mafiocosta costa
155,155,curva;lisca,TE curva DA lisca,Te CUR;va;dalisca,Te CUR va dalisca
156,156,anca;nera,C anca nera SPA,Cancan;e;raspa,Cancan e raspa
157,157,Po;soma;tino,RI Po soma T TU tino,Riposo;mattutino,Riposo mattutino
158,158,lepre;gas,VI lepre gas N T E,Vile;pregasnante,Vile pregasnante
159,159,Ande;mi;ali,B Ande CRI mi N ali,Bande;criminali,Bande criminali
160,160,la;tomo;mori,VE la tomo R mori O,Velato;mormorio,Velato mormorio
161,161,reo;redi;ago,T reo redi S V ago,Tre;ore;di;svago,Tre ore di svago
162,162,arti;stiva;lenti,arti stiva lenti,Artisti;valenti,Artisti valenti
163,163,avi;are;gola,U N avi T are gola TA,Una;vita;regolata,Una vita regolata
164,164,armo;sette,F armo S sette,Far;mossette,Far mossette
165,165,re;natura;nari,A re natura L L I nari,Aren;aturalli,Aren aturalli
166,166,cernie;Adamo;are,cernie R Adamo N T are,Cerniera;da;montare,Cerniera da montare
167,167,ali;doge;Era,V ali doge N Era LE,Valido;generale,Valido generale
168,168,osti;epe;rei,S osti EN epe rei RA,Sostiene;periera,Sostiene periera
169,169,re;adipe;pero,C re M adipe pero NI,Crema;di;peperoni,Crema di peperoni
170,170,arti;anitra;spia,arti G I anitra spia SI,Artigiani;traspaisI,Artigiani traspaisI
171,171,sola;piatti,AS sola T ICA piatti,Assolati;capiti,Assolati capiti
172,172,Po;ode;dente,Po P OL ode CA dente,Popolo;decadente,Popolo decadente
173,173,su;Diogene;roso;da;topo;posa;mente,su S SI Diogene roso da topo M posa mente,Sussidio;generoso;dato;solamente,Sussidio generoso dato solamente
174,174,fa;tic;mento;scolare,AF fa tic A mento MU scolare,Affaticamento;muscolare,Affaticamento muscolare
175,175,vela;remo;stia,RI vela remo D E stia,Rivelare;modestia,Rivelare modestia
176,176,verone;retto,PO verone G retto,Povero;negretto,Povero negretto
177,177,cavia;date,S cavia date N E,Scavi;ad;Atene,Scavi ad Atene
178,178,casa;mare,PAC casa mare TTI,Pacca;s;amaretti,Pacca s'amaretti
179,179,mine;tele;messo,E mine N tele GIS messo,Eminente;legimesso,Eminente legimesso
180,180,cetre;ante,DO L cetre MO L ante,Dolce;tremolante,Dolce tremolante
181,181,Capri;odi;ode;mento,DI Capri odi V ode L MO mento,Di;Capri;dove;del;momento,Di Capri dove del momento
182,182,con;limone;cono;ore;lesa,con limone R E cono N ore lesa ME,Conimore;con;onore;l;esame,Conimore con onore l'esame
183,183,ottico;menti,D ottico M menti,Dotti;commenti,Dotti commenti
184,184,cava;Ovidio,cava L Ovid TI,Cavalodi;giovani,Cavalodi giovani
185,185,tre;mantidi,tre mantidi R A,Tremanti;d;ira,Tremanti d'ira
186,186,Ares;tra;dei;Ate,F Ares tra dei S O L Ate,Fare;strade;isolate,Fare strade isolate
187,187,ramo;amo;atina,G ramo LE amo L atina,Gramola;e;molatina,Gramola e molatina
188,188,avi;ori;erta,L avi TT ori AC erta,La;vittoria;certa,La vittoria certa
189,189,in;ossi;zio;ali;menta,in T ossi C A zio N E ali menta RE,Intossicazione;alimentare,Intossicazione alimentare
190,190,avo;ripa;lame;ari,L avo ripa R lame N T ari,Lavori;parlamentari,Lavori parlamentari
191,191,usci;are;oli,S G usci are F A G I oli,Sgusciare;fagioli,Sgusciare fagioli
192,192,aceri;corda;ali;Giove,PI aceri corda RE L ali E .t. A Giove NTU,Piac;ercordare;la;lieta;gioventù,Piac ercordare la lieta gioventù
193,193,iene;rima;oche;mais;pera,V iene P rima CI oche mais I S pera,Vienè;prima;ciò;che;mai;si;spera,Vienè prima ciò che mai si spera
194,194,porta;tela;oratori;scia;fico,IM porta N tela B oratori O scia NTI fico,Importante;laboratorio;scientifico,Importante laboratorio scientifico
195,195,polo;scope;nato,TI polo scope D I nato,Tipo;losco;pedinato,Tipo losco pedinato
196,196,van;da;bolle,BE van da bolle NTE,Bevanda;bollente,Bevanda bollente
197,197,colle;aironi,colle G aironi C A,Collega;ironica,Collega ironica
198,198,Era;teca;ascia;esche,S Era teca R N ascia L esche,Serate;carnascialesche,Serate carnascialesche
199,199,estive;di,T estive di CI,Testi;vedici,Testi vedici
200,200,porta;mento;ava;ante,COM porta mento ST R ava G ante,Comportamento;stravagante,Comportamento stravagante
201,201,tra;avi;su,tra UM avi S su TO,Trauma;vissuto,Trauma vissuto
202,202,averla;ape;verso,averla LUN ape RT RA verso,Aver;la;luna;per;traverso,Aver la luna per traverso
203,203,mi;reo;orfano,mi S U reo PP orfano,Misure;opporfano,Misure opporfano
204,204,un;gas;su;la,L un gas su la BA,Lunga;sulaba,Lunga sulaba
205,205,otre;lobi;coda;amo,UN otre lobi A N coda RI C amo,Un;otrevoli;branco;da;ricamo,Un otrevoli branco da ricamo
206,206,arse;nidi;tesa,F arse G nidi N tesa,Far;segni;d;intesa,Far segni d'intesa
207,207,indici;idolo,indici BI L idolo RI,Indicibili;dolori,Indicibili dolori
208,208,arenata;tori,G arenata tori E,Gare;natatorie,Gare natatorie
209,209,orse;giare;unta;ari,S orse G giare unta M ari N DO,Sorseggiare;un;tamarindo,Sorseggiare un tamarindo
210,210,vere;frate;cola;risma,A vere UNP frate cola R E CA risma,Avere;un;fratelareca;risma,Avere un fratelareca risma
211,211,onde;re;lampione,F onde re PO lampione LLO,Fondere;polm;inello,Fondere polm inello
212,212,in;posti;tini,in D IS posti tini tini,Indisposti;tinitini,Indisposti tinitini
213,213,re;di;re;sci;re,P re di re sci A GU re,Predire;sciagure,Predire sciagure
214,214,ratti;falsi;mine,ATT ratti falsi mine SI,Attraffici;malinosi,Attraffici malinosi
215,215,ossa;ali;Achei;notte,G R ossa V ali G Achei NG notte,Grossa;valigia;che;ingotte,Grossa valigia che ingotte
216,216,oca;dadi;orme;Era,L oca N dadi F orme NT Era,Locanda;di;formente,Locanda di formente
217,217,verme;ori;ala;aspra,A verme M ori ala C UN aspra,Aver;memoria;lacunaspra,Aver memoria lacunaspra
218,218,rema;rete;esche,T rema G rete D esche,Tre;magre;tedesche,Tre magre tedesche
219,219,arca;via;fari,F arca TTI via F fari,Far;cattivi;affari,Far cattivi affari
220,220,est;colli;nei;minuti,est E SE colli nei NF I minuti,Estese;colline;in;fimi,Estese colline in fimi
221,221,menti;nona,S E menti nona GM,Sementi;non;AGM,Sementi non AGM
222,222,est;Ares;on,PR est Ares O CC on,Prestare;soccon,Prestare soccon
223,223,re;mitico;Lerici,F re re mitico L Lerici,Fremiti;collerici,Fremiti collerici
224,224,torri;oca,torri D oca LDO,Torrido;caldo,Torrido caldo
225,225,avo;Ares;ventagli;corti,L avo R Ares P A ventagli corti,Lavorare;spaventà;gli;corti,Lavorare spaventà gli'corti
226,226,dive;severi,dive R severi TA,Diverse;verità,Diverse verità
227,227,rovo;are;lira;lama;re,P rovo C are lira DE L lama D re,Provocare;l;ira;della;madre,Provocare l'ira della madre
228,228,Pellico;tesi,AP Pellico R tesi,Appelli;cortesi,Appelli cortesi
229,229,asse;arco;pialla;est,asse ST arco L pialla T est A,Assestar;colpi;alla;testa,Assestar colpi alla testa
230,230,pia;ode;oche,pia TT ode LL oche F,Piatto;dello;chef,Piatto dello chef
231,231,fori;madida;nunzio,A fori S madida N nunzio,Aforisma;di;D;Annunzio,Aforisma di D'Annunzio
232,232,ance;signora,AV ance signora TE,Avances;ignorate,Avances ignorate
233,233,unte;Terra,unte S Terra TO,Un;test;erato,Un test erato
234,234,ramo;ode;Ate,T ramo NT ode ST Ate,Tramonto;d;estate,Tramonto d'estate
235,235,ori;in;ari;ocra;tic,ori G in I ari S T ocra tic HE,Origini;aristocratiche,Origini aristocratiche
236,236,arti;area;madri;cala,P arti T area L madri cala L,Partita;real;Madrid;Real Madrid,Partita real Madrid-Real Madrid
237,237,api;dei;tori,L api dei S tori A TA,Lapide;istoriata,Lapide istoriata
238,238,osti;mento;tendine,U N osti RA mento tendine O,Uno;stir grabación;tendineo,Uno stir grabación tendineo
239,239,ora;dimissione,DIM ora dimission,Dimora;di;missione,Dimora di missione
240,240,fa;esca;remo,fa R esca LT remo SSE,Fare;scaltre;mosse,Fare scaltre mosse
241,241,asso;zio;peri;Fermi;rum,asso LU zio NE peri N Fermi TA rum LE,Assoluzione;per;infermata;rumle,Assoluzione per infermata rumle
242,242,nano;dotore;radi,U nano dotore NG radi TA,Una;nodotore;non;gradità,Una nodotore non gradità
243,243,occhiali;nassi,BAL occhiali nassi L LE,Balocchia;l;ina;sille,Balocchia l ina sille
244,244,noce;nastro;Ra,U noce A nastro Ra TO,Un;oceaño;storato,Un oceaño storato
245,245,ramarri;oste,DI ramarri SP oste,Diramar;risposte,Diramar risposte
246,246,ricetta;colo;divi;pere,ricetta colo divi pere,Ricettacolo;di;vipere,Ricettacolo di vipere
247,247,rete;nato,rete F FI nato,Ret;enfinito,Ret enfinito
248,248,api;rami;ali;menta,L api rami D E ali menta RE,La;piramide;alimentare,La piramide alimentare
249,249,polli;pia;pia,CI polli pia CE pia CE,Ci;pol;lipace;piace,Ci pol lipace piace
250,250,rivista;eco;Che,CU rivista CR eco OTI Che,Curivi;sacrecotiche,Curivi sacretiche
251,251,rema;occhi,rema R occhi N O,Re;marocchino,Re marocchino
252,252,Eolo;Giano,MUS Eolo DI Giano,Muséo;lodigiano,Muséo lodigiano
253,253,ambi;asso;nato,B ambi NO asso N nato,Bambino;assonnato,Bambino assonnato
254,254,lima;lati,PE lima C U lati,Peli;maculati,Peli maculati
255,255,Bambi;naso;do,Bambi naso do,Bambina;sodo,Bambina sodo
256,256,accetta;nasse;gnomo;asso,accetta R U nasse gnomo LT OB asso,Accettar;un;assegno;molto;basso,Accettar un assegno molto basso
257,257,Ares;Qui;sito,F Ares Qui sito,Fare;squisito,Fare squisito
258,258,bolero;lava,TRA bolero L lava LLE,Traboles;olla;valle,Traboles olla valle
259,259,navi;peri;colo,U navi T A peri colo SA,Una;vita;pericolosa,Una vita pericolosa
260,260,tese;zucche,tese NZA zucche RO,Tè;senza;zucchero,Tè senza zucchero
261,261,fa;la;re;si,fa R E la C re si MA,Fare;la;cresima,Fare la cresima
262,262,assi;avi;lama;la,APP assi T avi O lama MMO la,Appassiva;viola;marmola,Appassiva viola marmola
263,263,no;da;Barroso;Era,U no da Barroso Era,Un;onda;barossea,Un'onda barossea
264,264,vite;mi;ali,CA vite R mi N ali,Cavi;terminali,Cavi terminali
265,265,fa;comaschi,fa L comaschi O,Falco;maschio,Falco maschio
266,266,gru;ape;ante,gru C CI ape S ante,Gruccia;pesante,Gruccia pesante
267,267,vere;pera;are,V I vere pera M are,Vivere;per;amare,Vivere per amare
268,268,fa;bilia;coni,AF fa bilia M I coni,Affabili;amiconi,Affabili amiconi
269,269,pie;are;astro;dotto,pie G are L astro NI dotto NE,Piegare;l'astron;i;dottone,Piegare l'astron i'dottone
270,270,Ti;mora;rea;tea,Ti mora rea DAM AN tea,Timorare;ad;amante,Timorare ad amante
271,271,gilet;rotto,A gilet IG rotto,Agile;tigrotto,Agile tigrotto
272,272,bilie;ducato,A bilie ducato RI,Abili;educatori,Abili educatori
273,273,piedi;mani;tini,C O piedi mani F E S tini,Copie;di;manifestini,Copie di manifestini
274,274,inca;cola;leva;ore,inca L cola B I leva L ore,Incalcolabile;valore,Incalcolabile valore
275,275,osso;tasti,GR osso tasti N O,Grosso;taschino,Grosso taschino
276,276,turati;tana,AL turati BE tana,Altura;tibetana,Altura tibetana
277,277,mina;epa;rose,mina C C epa U rose,Minacce;paurose,Minacce paurose
278,278,leva;neri;usci,leva SIO neri usci T A,L;evaneir;uscita,L'evaneir uscita
279,279,con;arpe;re,con T arpe CO re,Contar;pecore,Contar pecore
280,280,lama;tina;adipe;oste,lama T tina T adipe NT EC oste,La;mattina;dà;pentecoste,La mattina dà pentecoste
281,281,colle;redi;versi;unti;oro,colle G A redi versi P unti TR AL oro,Collegare;diversi;punti;tra;loro,Collegare diversi punti tra loro
282,282,diva;tir;rum;oro;mente,diva N U tir E rum oro S A mente,Divanutire;rumorosamente,Divanutire rumorosamente
283,283,fa;lira;azze,AF fa BI lira G azze,Affabili;ragazze,Affabili ragazze
284,284,porta;geco;ossa,RE porta geco L ossa L E,Reportage;colossale,Reportage colossale
285,285,si;lira;azze,E si lira G azze TTE,Esili;ragazzette,Esili ragazzette
286,286,Pi;ramo;isbe,Pi ramo ET isbe,Piramo;e;Tisbe,Piramo e Tisbe
287,287,corda;remo;ioni;more,RI corda remo Z ioni D A more,Ricordar;emozioni;d;amore,Ricordar emozioni d'amore
288,288,coli;colo;ali,VI N coli colo N I ali,Vincoli;coloniali,Vincoli coloniali
289,289,barbiere;ala,barbiere G ala TA,Barbi;regalata,Barbi regalata
