,idx,word_guesses,first_pass,solution_words,solution
74,74,aria;amo;tre;giano,aria T T amo tre V I giano,Ariatta;motivigiano,Ariatta motivigiano
75,75,danno;venti,danno S I E venti,Dannosi;eventi,Dannosi eventi
76,76,mira;colino;cono;Talia;nodo,IL mira colino E cono MI COI Talia nodo GGI,Il;miracolo;economico;italiano;è;oggi,Il miracolo economico italiano è 'oggi
77,77,ave;rei;dei;asso;gin;ali,ave rei dei asso gin ali,Avere;idee;assognate,Avere idee assognate
78,78,api;doc;ento,R api doc O M ento,Rapido;comento,Rapido comento
79,79,coltelli;tini;dame;peli,coltelli C IS tini R dame R I peli,Coltellis;tiniridamepeli,Coltellisti niridamepeli
80,80,pera;colt;ree;orma;navi;ara,SA pera S colt A ree orma IU navi R T U R ara,Saper;ascoltare;e;ormai;una;virtù;rara,Saper ascoltare è ormai una virtù rara
81,81,osso;erba;punte,CA osso erba punte,Caso;serbato,Caso serbato
82,82,pi;star;do;ande,pi star do L ande S E,Pistard;olandese,Pistard olandese
83,83,coni;frane,coni O frane E,Conio;di;frane,Conio di frane
84,84,albatros;par,SCI albatros par TA,Scialba;trospar,Scialba trospar
85,85,avola;asti;roma;erma,T avola D asti roma L F erma,Tavola;da;stiro;malfermo,Tavola da stiro malfermo
86,86,neri;cori;amo,GE neri cori CH I amo,Generici;orichiamo,Generici orichiamo
87,87,lacci;gregario;fusi,UR lacci gregario fusi,Urlacci;gregari,Urlacci gregari
88,88,cenni;fa,DE cenni fa,Decenni;fa,Decenni fa
89,89,mela;rea;senna;mente,O mela rea S senna T A mente,Omelera;essennatamente,Omelera essennatamente
90,90,tra;letti;nt;orsi,tra F I letti NT C orsi VO,Trafiletti;in;corsivo,Trafiletti in corsivo
91,91,catene;odi;la,CU catene N odi la NA,Cucaten;en;odio,Cucaten en odio
92,92,amo;gole;Terni,amo R E gole Terni T A,Amore;per;l;eternità,Amore per l'eternità
93,93,casa;casco;ori,casa C casco L ori T A,Cascate;colossali,Cascate colossali
94,94,rima;eredi;tatura,rima N eredi S tatura TI,Rimanere;distatuati,Rimanere distatuati
95,95,gatti;di;lega,gatti di A lega RA,Gattidial;egar,Gattidial egar
96,96,rose;fili;pica,rose N T A fili P pica,Rosenta;filipica,Rosenta filipica
97,97,esca;nati;ermo;alì,TR esca N ZO nati ermo G I alì,Tre;sconzonati;ermogialì,Tre sconzonati ermogialì
98,98,su;rete;one,su O rete RZI one E,Suore;terzione,Suore terzione
99,99,vela;sci,DI vela sci V E,Dive;lascive,Dive lascive
100,100,Moro;pieni,A Moro pieni A,Amorose;pia,Amorose pia
101,101,moda;ari,UO moda F ari,Uomo;d;affari,Uomo d'affari
102,102,scuole;pronti;more,U N scuole N T O pronti more,Un;scolento;promore,Un scolento promore
103,103,gene;are;amino;tea;ali,gene GN are R U amino tea T R ali,Gnegnerea;ruami;notatrali,Gnegnerea ruami notatrali
104,104,lancia;corno,lancia D E L corno,L';ancia;del;cornuto,L'ancia del cornuto
105,105,nonne;oglio;pesche,nonne V oglio S A pesche,Non;ve;oglio;sapesche,Non ve oglio sapesche
106,106,navi;sion;polli,U navi sion EU polli CA,Una;visione;eupolica,Una visione eupolica
107,107,aquile;pance;occhio;collo,L aquile pance N occhio DI collo DI,La;quilea;pa;ncioncola;di;collodi,"La quilea pa ncioncola, di collodi"
108,108,Rea;Rea;rose;bus,C Rea Rea MO rose bus E,Creare;morose ;buse,Creare morose buse
109,109,orsi;orsi;nate,C orsi F orsi N nate,Corsi;forsinante,Corsi forsinante
110,110,strade;erta,MO strade S erta,Mostra;deserta,Mostra deserta
111,111,orso;alce;dentisti,C orso alce NT dentisti NO,Corso;al;centen;ti;noioso,Corso al cententinoioso
112,112,di;scarpe;santi;ponti,di N E scarpe santi R I ponti,Dinescar;pesanti;riponti,Dinescar pesanti riponti
113,113,sedia;ori;remo,sedia M ori A V remo,Se;diamo;riavvero,Se diamo riavvero
114,114,melone;agente;laio;tea;zio,TE melone ST agente L laio ES tea zio NI,Test;e;molest;azioni;di;estetista;zionni,Test e molestazioni di estetista zionni
115,115,verde;risma,A verde LCA risma,"Ave,;rde;lcarisma","Ave, rde lcarisma"
116,116,inno;rei;pia,COL inno rei M pia NTI,Colonnerei;mpianti,Colonnerei mpianti
117,117,colombia;osti,colombia RR osti T I,Colombe;arrrostite,Colombe arrrostite
118,118,est;iran;rosi,G est iran C O rosi,Gesti;rancorosi,Gesti rancorosi
119,119,aroma;mamme;diana,NOT aroma N Z mamme R diana,Nota;romanza;mammaria,Nota romanza mammaria
120,120,seghe;offesa;giano,SA seghe offesa V I giano,Saghe;offensive,Saghe offensive
121,121,con;fez;nidi;mazzancolle,con fez IO nidi P mazzancolle RTA,Confeziona;di;prima;porta,Confeziona di prima porta
122,122,golfo;uno,golfo RT uno SO,Gol;fortunoso,Gol fortunoso
123,123,porta;età;re;re;ile,COM porta età IR re P re NS IB ile,Comporta età;irreprensibile,Comporta età irreprensibile
124,124,ossi;denti;fox,P ossi denti SI N fox SI,Possidenti;sinfonici,Possidenti sinfonici
125,125,do;cipro;tino;ette,do L cipro DO T tino S TR ette,Dolci;prodotti;nostrani,Dolci prodotti nostrani
126,126,fa;odi;vasi,fa LL odi N vasi ON E,Fallo;d;invasione,Fallo d'invasione
127,127,su;tir;armi,su DA tir ISP armi,Sudati;risparmi,Sudati risparmi
128,128,scala;mento;disc;olla,scala TE MO mento disc N F olla,Scalate;montagne;di;difficoltà,Scalate montagne di difficoltà
129,129,soldo;preda;acchi,U soldo preda T acchi NI,Usoldo;predat;acchini,"Usoldo, predat acchini"
130,130,arco;mesi;est,F arco mesi DES ID est,Far;come;si;desidera,Far come si desidera
131,131,fichi;gin,A fichi gin A,Afa;ficina,Afa ficina
132,132,calma;listino,M calma listino TI,Macalmati;lisi,Macalmati lisi
133,133,bar;lancia;tesi;azione,I M bar lancia N tesi T U azione,Imbarazzanti;situazioni,Imbarazzanti situazioni
134,134,sila;tino;zie,E sila RAN tino TI zie,Esileranti;notizie,Esileranti notizie
135,135,si;re;est;fa;si,IN si NUA re est O fa L si TA,Insinuare;esto;falsità,Insinuare esto falsità
136,136,set;tede;sta,CAL set T tede sta TE,Calze;tette;e;staffe,Calze tette e' staffe
137,137,nere;unghie;ante,U nere unghie P E S ante,Un;eremita;pesante,Un'eremita pesante
138,138,agenda;nera;giano,agenda E nera DI FA giano,Agend;anera ;di;fagiano,Agend anera di fagiano
139,139,gole;corte;ari;ree,RE gole corte LIT ari FER ree,Regole;cortili t;arifere,Regole cortili tarifere
140,140,nido;per,BRA nido per A,Brani;d;opera,Brani d'opera
141,141,dama;calamaro,LIN dama N calamaro,Linda;mancalamaro,Linda mancalamaro
142,142,tram;odi;manti,A tram odi C A L manti,Atram;od;icalmanti,Atram od icalmanti
143,143,diva;ali;apice;nate,GU diva E ali apice R I nate,Guidare;lievi;apicrine,Guidare lievi apicrine
144,144,auto;dei;api;issa,L auto R E dei L C api T issa,L';autore;de;Il;capitano,L'autore de Il capitano
145,145,estivi;ore;sta,estivi L I D ore GI sta,Estivi;lidiore,Estivi lidiore
146,146,ari;ami;are,M ari N ami LIT are,Marini;amilitare,Marini amilitare
147,147,atena,coll'Era SC atena TA,Collera;scatenata,Collera scatenata
148,148,bar;inno;teen;apice,S bar CO inno R teen apice A,Sbarco;in;Normandia,Sbarco in Normandia
149,149,eva;erie;anno;ali;rea;lerci;etti,L eva NT erie F anno S ali rea G AL lerci F etti,Le;vanterie;fanno;salire;a;galla;i;lercifetti,Le vanterie fanno salire a galla i lercifetti
150,150,lettera;dita,PRO lettera A R dita,Proletari;arditi,Proletari arditi
151,151,tra;odorose;di;cedrata,S tra T odorose di cedrata RIO,Strato;d;oro;sedimentario,Strato d'oro sedimentario
152,152,Dario;magra,Dario RU magra RI,Dario;Rumari,Dario Rumari
153,153,aratro;lare,aratro G O lare,Aratro;golare,Aratro golare
154,154,lama;nodo;pera;riva,lama nodo pera riva,La;manodopera;riva,La manodopera riva
155,155,stadio;cactus,TE stadio DA cactus,Testa;di;cactus da,Testa di cactus da
156,156,osta;nera,C osta nera SPA,Costas;e;raspa,Costase raspa
157,157,posta;soma;tino,RI posta soma T TU tino,Riposta;somattuto,Riposta somattuto
158,158,lepre;tende,VI lepre tende N TE,Vile;pretendente,Vile pretendente
159,159,ande;si;ali,B ande CRI si N ali,Bande;criminali,Bande criminali
160,160,la;tipo;arabi,VE la tipo R arabi O,Velato;pirarabo,Velato pirarabo
161,161,reo;Redi;ago,T reo Redi S V ago,Tre;ore;di;svago,Tre ore di svago
162,162,arti;stiva;lente,arti stiva lente,Artisti;valenti,Artisti valenti
163,163,avi;are;gola,U N avi T are gola T A,Una;vita;golerata,Una vita golerata
164,164,ciurma;pazzato,F ciurma S pazzato,Fic;canaspo,Fic canaspo
165,165,re;eco;nari,A re eco L L I nari,Are;ecollinar,Are ecollinar
166,166,coralli;adamo;are,coralli R adamo N T are,Corridan;do;montare,Corridando montare
167,167,ali;doge;era,V ali doge N era LE,Valido;generale,Valido generale
168,168,osterie;pancie;debitori,S osterie EN pancie debitori RA,Sentenza;plebera,Sentenza plebera
169,169,re;sebo;pero,C re M sebo pero NI,Crema;di;seborini,Crema di seborini
170,170,arti;papera;rosica,arti G I papera rosica S I,Artigiani;paperassi,Artigiani paperassi
171,171,sola;panni,AS sola T ICA panni,Assolati;capanni,Assolati capanni
172,172,po;rima;falla,po P OL rima CA falla,Popoli;rimacafalla,Popoli rimacafalla
173,173,su;Diogene;su;Diogene;uso;oa;topo;posa;speranza,su S SI Diogene uso oa topo M posa speranza,Sussidio;generoso;a to;posasperanza,Sussidio generoso a toposperanza
174,174,fa;tic;mento;scolare,AF fa tic A mento MU scolare,Affaticamento;muscolare,Affaticamento muscolare
175,175,vela;remo;pollaio,RI vela remo D E pollaio,Rivelare;modello,Rivelare modello
176,176,balcone;retto,PO balcone G retto,Pobalc;oneretto,Pobalc oneretto
177,177,cavia;ere,S cavia ere N E,Scavi;di;erene,Scavi di erene
178,178,coda;orco,PAC coda orco TTI,Pacco;d;orchetti,Pacco d'orchetti
179,179,bombe;tele;postino,E bombe N tele GIS postino,Ebombente;legispostino,Ebombente legispostino
180,180,cetre;ante,DOL cetre MOL ante,Dolce;tremolante,Dolce tremolante
181,181,Elba;odi;erso;mento,DI Elba odi V erso L MO mento,Di;elbaod;iver;sol;momento,Di elbaod iver sol momento
182,182,da;pipi;cono;fate;rotta,da pipi R E cono N fate rotta ME,Dappirei;con;fatte;r;ottam,Dappirei con fatte r'ottam
183,183,ottico;enti,D ottico M enti,Dotti;commenti,Dotti commenti
184,184,cava;poeta,cava L poeta TI,Cavalpo;etati,Cavalpo etati
185,185,ordine;termiti,ordine termiti R A,Ordinete;r;miti,Ordinete r'miti
186,186,ares;tra;dei;ate,F ares tra dei S O L ate,Fare;stragi;desolate,Fare stragi desolate
187,187,ramo;amo;ascia,G ramo LE amo L ascia,Gramole;a;molassi,Gramole a molassi
188,188,avi;ori;erta,L avi TT ori AC erta,La;vittoria;certa,La vittoria certa
189,189,itis;funghi;nonno;rum;menta,itis T funghi C A nonno N E rum menta R E,Tifunghi canonne;rumentare,Tifunghi canonne rumentare
190,190,avo;ripa;raso;ARI,L avo ripa R raso N T ARI,Lavori;preparatori,Lavori preparatori
191,191,occhi;are;fumi,S G occhi are F A G I fumi,Sgocciare;fagifumi,Sgocciare fagifumi
192,192,pini;corda;leve;marte,PI pini corda RE L leve E A marte NTU,Piani;cordiali e;le;varie;mantuane,Piani cordiali e le varie mantuane
193,193,iene;rima;polli;mais;oratore,V iene P rima CI polli mais I S oratore,Viene;prima;chi;poi;mai;si;sora,Viene prima chi poi mai si sora
194,194,porta;tela;revi;scie;fico,IM porta N tela B revi O scie NTI fico,Importanti;telebrevisio;nistifiche,Importanti telebrevisio nistifiche
195,195,polo;scope;onu,TI polo scope D I onu,Tipo;losco;pedionio,Tipo losco pedionio
196,196,van;AD;bolle,BE van AD bolle NTE,Bevanda;bollente,Bevanda bollente
197,197,ermo;aironi,ermo G aironi C A,Ermogar;ionica,Ermogar ionica
198,198,era;teca;sega;esche,S era teca R N sega L esche,Serata;carnescialesca,Serata carnescialesca
199,199,estive;dì,T estive dì CI,Testi;vedici,Testi vedici
200,200,porta;età;eva;ante,COM porta età STR eva G ante,Comporta età;stravagante,Comporta età stravagante
201,201,tra;avi;alto,tra UM avi S alto TO,Trauma;visalto,Trauma visalto
202,202,averla;ape;verso,averla LUN ape RT RA verso,Aver;la;luna;per;traverso,Aver la luna per traverso
203,203,asso;reo;oste,asso S U reo P P oste,Assure;opposte,Assure opposte
204,204,un;gas;sci;la,L un gas sci la BA,Lunga;sciabba,Lunga sciabba
205,205,gomito;lobi;coda;esca,UN gomito lobi A N coda RIC esca,Un;gomitolo;bianco;da;ricamo,Un gomitolo bianco da ricamo
206,206,arse;nidi;ansia,F arse G nidi N ansia,Far;segni;d;ansia,Far segni d'ansia
207,207,voci;idolo,voci BIL idolo RI,Vocibilio;dolori,Vocibilio dolori
208,208,incagliata;cavalli,G incagliata cavalli E,Gine;cavalline,Gine cavalline
209,209,orse;giare;unta;ari,S orse G giare unta M ari N DO,Sorseggiare;un;tamarindo,Sorseggiare un tamarindo
210,210,fedi;arti;cola;risma,A fedi UNP arti cola R E CA risma,Afedi;un;particolare;carisma,Afedi un particolare carisma
211,211,onde;le;cometa,F onde le PO cometa LLO,Fondere;poco;metallo,Fondere poco metallo
212,212,ali;ali;ali;ali;ali;ali,ali D IS post ali i PO t ali i,Alidispost;alipotali,Alidispost alipotali
213,213,re;nord;re;sci;re,P re nord re sci A GU re,Prendre;sciagure,Prendre sciagure
214,214,ratti;veri;mine,ATT ratti veri mine SI,Attrattive;rimenasi,Attrattive rimenasi
215,215,ossa;ali;achei;ombra,G R ossa V ali G I achei N G ombra,Grossa;valanga;che;ingombra,Grossa valanga che ingombra
216,216,anatroccolo;dadi;orme;est,L anatroccolo N dadi F orme NT est,Lanatre;da;diformenti,Lanatre da diformenti
217,217,verme;gioie;lato;osa,A verme M gioie lato C UN osa,Aver;megioie;latocuno,Aver megioie latocuno
218,218,rema;rete;esche,T rema G rete D esche,Tre;magre;tedesche,Tre magre tedesche
219,219,arca;via;fari,F arca TTI via F fari,Far;cattivi;affari,Far cattivi affari
220,220,Giappone;Rame;nei;umi,Giappone E SE Rame nei N F I umi,Giappo;nese ra;me;infiu,Giappo nese ra me infiu
221,221,menti;nono,S E menti nono G M,Sementi;non;ogm,Sementi non ogm
222,222,albeggia;ares;orso,PR albeggia ares O CC orso,Prealba;giaresce,Prealba giaresce
223,223,pate;mitico;a,F pate mitico L a,Fatemico;latolamia,Fatemico latolamia
224,224,torri;aldo,torri D aldo LDO,Torrida;ldolo,Torrida ldolo
225,225,avo;ares;ventilatori;netti,L avo R ares P A ventilatori netti,Lavorare;spavent;at;inetti,Lavorare spaventat'inetti
226,226,divi;severi,divi R severi T A,Diversi;verita,Diversi verita
227,227,alloro;are;lira;ago;ivino,P alloro C are lira DE L ago D ivino,Pallorcare;l;ira;della;godiv,Pallorcare l'ira della godiv
228,228,Pellico;tesi,AP Pellico R tesi,Appelli;cortesi,Appelli cortesi
229,229,asse;arco;sega;est,asse ST arco L sega T est A,Assestar;colse;gatt;esta,Assestar colse gatt'esta
230,230,Iva;ode;oche,Iva TT ode LL oche F,Ivatto;delle;ochf,Ivatto delle ochf
231,231,fori;sudata;unzio,A fori S sudata N unzio,Aforismi;su;d;atanunzio,Aforismi su d'atanunzio
232,232,ance;sposa,AV ance sposa TE,Avances;posate,Avances posate
233,233,unte;terra,unte S terra TO,Un;test;errato,Un test errato
234,234,ramo;ode;eco,T ramo NT ode ST eco,Tramonto;d;estate,Tramonto d'estate
235,235,ori;iva;matti;ocra;tic,ori G iva I matti S T ocra tic HE,Origiva;imattistocratic,Origiva imattistocratic
236,236,arti;entrata;puericultrici;darsena,P arti T entrata L puericultrici darsena L,Partite;ntal;pueri;darsenal,Partite ntal pueri - darsenal
237,237,api;dei;tori,L api dei S tori A TA,Lapide;istoriate,Lapide istoriate
238,238,osti;mento;tendine,U N osti RA mento tendine O,Uno;stramento;tendineo,Uno stramento tendineo
239,239,ora;dimissioni,DIM ora dimissioni,Dimora;di;missionari,Dimora di missionari
240,240,fa;esca;remo,fa R esca LT remo SSE,Fare;scaltre;mosse,Fare scaltre mosse
241,241,asso;zio;fichi;fermi;anice,asso LU zio NE fichi N fermi TA anice LE,Assoluzioni;che;infermita;nicelle,Assoluzioni che infermita nicelle
242,242,nano;tiziano;radi,U nano tiziano NG radi TA,Una;notizing;ara;diata,Una notizing ara diata
243,243,occhiali;remi,BAL occhiali remi L LE,Baloccai;i;remi;delle,Baloccai i remi delle
244,244,noce;nodo;ra,U noce A nodo ra TO,Un;oceano;dorato,Un oceano dorato
245,245,iguane;aratore,DI iguane SP aratore,Diguane;sparatore,Diguane sparatore
246,246,ricetta;setaccio;divi;matte,ricetta setaccio divi matte,Ricettacolo;di;matte,Ricettacolo di matte
247,247,barra;nato,barra F FI nato,Bar;raffinato,Bar raffinato
248,248,api;rami;ali;aranciata,L api rami D E ali aranciata RE,La;piramide;alianciata,La piramide alianciata
249,249,ratti;pia;pia;ratti;pia;pia,CI ratti pia CE pia CE,CirProcediamo alla risoluzione del rebus passo per passo:;Cir;rat;tipia;cepie,Cir rat tipia cepie
250,250,cine;obi;che,CU cine CR obi OTI che,Cucine;crobiotiche,Cucine crobiotiche
251,251,marea;occhi,marea R occhi N O,Ma;reocchino,Ma reocchino
252,252,eolo;giano,MUS eolo DI giano,Muse;ologiano,Muse ologiano
253,253,ambi;asso;nato,B ambi NO asso N nato,Bambino;assassino,Bambino assassino
254,254,lima;lati,PE lima C U lati,Peli;maculati,Peli maculati
255,255,Bambi;naso;rosario,Bambi naso rosario,Bambina;sorda,Bambina sorda
256,256,ascia;nasse;gnomo;fante,ascia R U nasse gnomo L T O B fante,Asciuran;se;gnomolt;obesi;fante,Asciuran se gnomolt obesi fante
257,257,elmo;qui;url,F elmo qui url,Felm;oquiurl,Felm oquiurl
258,258,piumino;lava,TRA piumino L lava LLE,Trapunte;lilla;valle,Trapunte lilla valle
259,259,navi;elsa;colino,U navi T A elsa colino SA,Una;vita;elsa colino,Una vita elsacolino
260,260,tese;zucche,tese NZA zucche RO,Te;senza;zucchero,Te senza zucchero
261,261,fa;la;si;si,fa R E la C si si MA,Fare;la;cassima,Fare la cassima
262,262,assi;avi;lama;tirocinanti,APP assi T avi O lama MMO tirocinanti,Appassiti;aviol;ammotir,Appassiti aviol ammotir
263,263,no;via;prodi;ora,U no via prodi ora,Un;ovia;prodiora,Un'ovia prodiora
264,264,vite;re;ali,CA vite R re N ali,Cave;rnereali,Cave rnereali
265,265,mi;comasco,mi L comasco O,Milco;mascolo,Milco mascolo
266,266,gru;ape;ante,gru C CI ape S ante,Gruccia;pesante,Gruccia pesante
267,267,fedi;pera;are,V I fedi pera M are,Vifedi;per;amare,Vifedi per amare
268,268,mi;biliardo;coni,AF mi biliardo M I coni,Affinami;bilanci,Affinami bilanci
269,269,amare;are;astro;dotto,amare G are L astro NI dotto NE,Amare g;arelastro;n;idotto,Amare garelastron'idotto
270,270,T;mora;Rea;tea,T mora Rea DAM AN tea,Tormenta;da;mantea,Tormenta da mantea
271,271,gilet;lacerato,A gilet IG lacerato,Agile;tiglioso,Agile tiglioso
272,272,biglie;ducato,A biglie ducato R I,Abili;giudicatori,Abili giudicatori
273,273,piedi;mani;tini,CO piedi mani FES tini,Copie;di;manifesti,Copie di manifesti
274,274,inca;cola;piede di porco;ore,inca L cola B I piede di porco L ore,Incalcolabili;pedoni,Incalcolabili pedoni
275,275,osso;tacchi,GR osso tacchi N O,Grosso;tacchino,Grosso tacchino
276,276,turati;tana,AL turati BE tana,Altura;tibetana,Altura tibetana
277,277,mina;epa;glicini,mina C C epa U glicini,Minacce;paglici,Minacce paglici
278,278,leva;neri;ante,leva SIO neri ante T A,L';evasione;rinviata,L'evasione rinviata
279,279,con;arpe;re,con T arpe CO re,Contare;pecore,Contare pecore
280,280,sega;ina;età;oste,sega T ina T età N T E C oste,Se;gatinatte;co;ntecostese,Se gatinatte co ntecostese
281,281,ermo;Redi;odi;unti;oro,ermo G A Redi odi P unti T R A L oro,Ermagared;iodipun;titra;lor;o,Ermagared iodipun titra lor o
282,282,diva;tir;rum;oro;mente,diva N U tir E rum oro S A mente,Divanature;ruminosamente,Divanature ruminosamente
